Training loss,Validation loss,Accuracy,Precision,Recall,F1-score,CSI-score
0.248,0.19,0.921,0.632,0.595,0.613,0.442
0.18,0.163,0.923,0.63,0.654,0.642,0.473
0.178,0.161,0.925,0.643,0.644,0.644,0.475
0.175,0.157,0.928,0.654,0.66,0.657,0.489
0.174,0.161,0.927,0.648,0.676,0.661,0.494
0.174,0.155,0.929,0.673,0.63,0.65,0.482
0.174,0.173,0.924,0.618,0.735,0.671,0.505
0.173,0.164,0.923,0.613,0.735,0.668,0.502
0.173,0.169,0.914,0.808,0.232,0.36,0.22
0.173,0.155,0.928,0.667,0.635,0.65,0.482
0.172,0.156,0.927,0.638,0.714,0.674,0.508
0.171,0.156,0.929,0.662,0.668,0.664,0.498
0.172,0.153,0.93,0.722,0.548,0.623,0.453
0.171,0.159,0.927,0.74,0.466,0.572,0.401
0.171,0.151,0.931,0.701,0.596,0.644,0.476
0.17,0.15,0.932,0.716,0.58,0.641,0.472
0.17,0.152,0.93,0.73,0.533,0.616,0.445
0.169,0.15,0.932,0.711,0.589,0.644,0.476
0.169,0.152,0.931,0.738,0.533,0.619,0.448
0.169,0.166,0.93,0.654,0.703,0.678,0.513
0.168,0.162,0.926,0.621,0.759,0.683,0.519
0.168,0.156,0.927,0.784,0.423,0.55,0.38
0.168,0.171,0.928,0.635,0.741,0.684,0.52
0.168,0.171,0.931,0.67,0.687,0.678,0.513
0.167,0.149,0.932,0.736,0.556,0.633,0.464
0.167,0.157,0.93,0.649,0.727,0.686,0.522
0.168,0.155,0.931,0.775,0.482,0.595,0.423
0.167,0.148,0.934,0.711,0.63,0.668,0.502
0.166,0.153,0.932,0.763,0.517,0.616,0.446
0.165,0.145,0.935,0.709,0.647,0.676,0.511
0.165,0.152,0.934,0.712,0.623,0.665,0.498
0.164,0.145,0.934,0.679,0.701,0.69,0.527
0.164,0.152,0.929,0.635,0.773,0.697,0.535
0.164,0.164,0.93,0.769,0.476,0.588,0.417
0.164,0.148,0.934,0.692,0.671,0.681,0.517
0.163,0.143,0.936,0.737,0.61,0.668,0.502
0.163,0.145,0.933,0.663,0.73,0.695,0.533
0.163,0.156,0.933,0.684,0.678,0.681,0.517
0.163,0.145,0.935,0.717,0.635,0.674,0.508
0.162,0.143,0.936,0.743,0.59,0.658,0.491
0.163,0.141,0.936,0.718,0.648,0.681,0.517
0.162,0.142,0.936,0.738,0.608,0.667,0.501
0.162,0.142,0.936,0.75,0.589,0.66,0.493
0.163,0.156,0.934,0.714,0.621,0.665,0.498
0.162,0.145,0.934,0.674,0.72,0.696,0.534
0.162,0.205,0.935,0.687,0.7,0.693,0.531
0.162,0.14,0.936,0.739,0.611,0.669,0.503
0.161,0.145,0.936,0.697,0.687,0.692,0.529
0.161,0.141,0.936,0.7,0.684,0.692,0.53
0.161,0.151,0.935,0.715,0.628,0.668,0.502
0.161,0.16,0.935,0.69,0.689,0.689,0.526
0.161,0.142,0.936,0.751,0.586,0.658,0.491
0.16,0.144,0.934,0.679,0.705,0.692,0.529
0.16,0.143,0.936,0.74,0.602,0.664,0.498
0.16,0.143,0.936,0.715,0.646,0.679,0.515
0.16,0.148,0.932,0.652,0.755,0.7,0.538
0.16,0.141,0.936,0.722,0.631,0.673,0.508
0.159,0.266,0.935,0.74,0.59,0.656,0.489
0.159,0.143,0.936,0.72,0.634,0.674,0.509
0.159,0.14,0.937,0.724,0.642,0.68,0.516
